No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category,Ratings,Google Review Count
126,Le Meridien Bali Jimbaran - CHSE Certified,"Jl. Bukit Permai, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
127,Anantara Bali Uluwatu Resort,"Jl. Pemutih, Jl. Labuansait, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
128,Hadi Poetra Hotel,"Jl. Raya Kuta No.323-378, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
129,SIX SENSES ULUWATU BALI,"Jl. Goa Lempeh, Uluwatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
130,"Mandapa, A Ritz-Carlton Reserve","Jl. Raya Kedewatan, Banjar, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Banjar,Gianyar,,,Stays,,
131,BEST WESTERN Kuta Villa,"Jl. Nyangnyang Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
132,ibis Styles Bali Benoa,"Jl. Pratama No.57A, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
133,The Mulia - Nusa Dua,"Kawasan Sawangan, Jl. Raya Nusa Dua Selatan Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80362, Indonesia",Kuta,Badung,,,Stays,,
134,Amaris Teuku Umar Denpasar,"Jl. Teuku Umar No.139, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
135,Stark Boutique Hotel and Spa Bali,"Jl. Kartika Plaza No.20, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
136,b Hotel Bali & Spa,"Jl. Imam Bonjol No.508, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
137,Lovina Beach Club & Resort,"Jl. Seririt- Singaraja, Tukadmungga, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia",Buleleng,Buleleng,,,Stays,,
138,"Marriott's Autograph Collection, The Stones Hotel, Bali","Jl. Raya Pantai Kuta Banjar Legian Kelod Legian Bali, The Stones Entertainment Center, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
139,Ohana Hotel Kuta,"Jl. Kubu Anyar No.20, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
140,Seminyak Icon by Karaniya Experience,"Dewi Madri, Jl. Bali Deli, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
141,SOL by Melia Benoa Bali-All Inclusive,"Kuta Selatan, South Kuta, Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
142,HOTEL & RESIDENCES Riverview Kuta - Bali (Associated HARRIS),"Jl. Raya Kuta No.62A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
143,Hotel Santika Kuta,"Jl. Raya Kuta No.98, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
144,Wyndham Tamansari Jivva Resort,"Pantai Lepang, Jl. Subak Lepang No.16, Takmung, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752, Indonesia",Banjar,Klungkung,,,Stays,,
145,Nunamkhalu Private Villas & Spa,"Jl. Melasti II, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
146,Kaamala Resort Ubud,"No.888 x, Jl. Bisma No.888x, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
147,Abian Harmony Hotel & Spa,"Jl. Danau Tamblingan No.192, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80229, Indonesia",Selat,Denpasar,,,Stays,,
148,ibis Styles Bali Denpasar,"Jl. Teuku Umar No.183, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
149,"Four Points by Sheraton Bali, Ungasan","Jl. Raya Uluwatu Banjar Giri Dharma, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80364, Indonesia",Kuta,Badung,,,Stays,,
150,Vinila Villas Nusa Dua by Nakula,"Jl. Desa Sawangan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
151,Kamandalu Ubud,"Jl. Raya Andong, Banjar Nagi, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Banjar,Gianyar,,,Stays,,
152,The Light Exclusive Villa and Spa,"Jalan Pangkung Sari No. 11 Seminyak Kuta, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
153,Zizz Convention Hotel,"Jln. Mudutaki V No.2 Tegal Jaya, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80117, Indonesia",Kuta,Badung,,,Stays,,
154,The Akmani Legian,"Jl. Raya Legian No.177, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
155,The Vira Bali Boutique Hotel & Suite,"Jl. Kartika Plaza No.127, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
156,Famous Hotel Kuta,"Jl. Kediri No.5, Tuban, Kec. Kuta, Denpasar, Bali 80361, Indonesia",Kuta,Denpasar,,,Stays,,
157,Element by Westin Bali Ubud,"Jl. Raya Andong No.88, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
158,Four Seasons Resort Bali at Sayan - CHSE Certified,"Jl. Raya Sayan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
159,POP! Hotel Denpasar - Bali,"Pop! Hotels, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
160,Fairfield by Marriott Bali Legian,"Jl. Sri Rama No.8C, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
161,"The Westin Resort & Spa Ubud, Bali","Jl. Lod Tunduh, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
162,Kuta Seaview Boutique Hotel & Spa,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
163,Aloft Bali Seminyak- CHSE Certified,"Jl. Batu Belig No.228, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
164,Jumeirah Bali,"Kawasan Pecatu Indah Resort, Jl. Raya Uluwatu Street, Kuta Selatan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
165,Hotel Zia Bali - Kuta,"Jl. ​Ciung Wanara 17, Br. Tegal, Kuta, Kec. Kuta, Kuta, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
166,Bali Elephant,"Jalan Elephant Safari Park Banjar Desa Taro Tegallalang, Taro, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Banjar,Gianyar,,,Stays,,
167,Alam Kawi Ubud Resort & Spa,"Sanding, Tampaksiring, Gianyar, Bali 80552, Indonesia",Ubud,Gianyar,,,Stays,,
168,Grand Mirage Resort & Thalasso Bali,"Jl. Pratama No.74, Tanjung, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
169,"Sthala, a Tribute Portfolio Hotel, Ubud Bali","Jalan A.A Gede Rai, Jl. Raya Mawang Kelod, Lodtunduh, Ubud, Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
170,SereS Springs Resort & Spa,"F763+G3Q, Jl. Jukut Paku, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
171,Sithala Villa Seminyak,"Gg. Sunyi No.1, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
172,The Ritz-Carlton Bali Villas,"Jl. Raya Nusa Dua Selatan Jl. Nusa Dua, Lot III, Sawangan, Kec. Kuta Sel., Bali, 80361, Indonesia",Kuta,Badung,,,Stays,,
173,ZURI Express Jimbaran,"Jl. Uluwatu II No.88X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
174,The Grand Bali Nusa Dua,"Jalan Raya Nusa Dua Selatan, Jl. Nusa Dua No.8, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
175,Padma Resort Legian,"Jl. Padma No.1, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
176,Mars City Hotel,"Jl. Kerta Dalem, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224, Indonesia",Selat,Denpasar,,,Stays,,
177,Klapa Resort,"Jalan Raya Uluwatu Jl. New Kuta Beach No.I, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80364, Indonesia",Kuta,Badung,,,Stays,,
178,Amaroossa Suite Bali,"Taman Mumbul, Jl. Taman Kebo Iwa Jalan Nusa Dua No.2, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
179,The Vasini Hotel,"Jl. WR Supratman No.288, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia",Denpasar Timur,Denpasar,,,Stays,,
180,Puri Padma Hotel,"jl Raya Andong, G72F+945, Banjar Nagi, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Banjar,Gianyar,,,Stays,,
181,Karma Kandara,"Jl. Villa Kandara, Banjar Wijaya Kusuma, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80362, Indonesia",Kuta,Badung,,,Stays,,
